+---------+----------+-----------------+-------+--------+---------+-----------------+
| threads | accounts | txns_per_thread | pct   | lock   | variant | mean_time (s)   |
+---------+----------+-----------------+-------+--------+---------+-----------------+
|       4 |  1000000 |            2500 |    30 | mutex  | coarse  |          0.042549 |
|       4 |  1000000 |            2500 |    30 | mutex  | fine    |          0.041470 |
|       4 |  1000000 |            2500 |    30 | rwlock | coarse  |          0.053891 |
|       4 |  1000000 |            2500 |    30 | rwlock | fine    |          0.053082 |
|       4 |  1000000 |            2500 |    50 | mutex  | coarse  |          0.042484 |
|       4 |  1000000 |            2500 |    50 | mutex  | fine    |          0.041571 |
|       4 |  1000000 |            2500 |    50 | rwlock | coarse  |          0.053397 |
|       4 |  1000000 |            2500 |    50 | rwlock | fine    |          0.052843 |
|       4 |  1000000 |            2500 |    70 | mutex  | coarse  |          0.041391 |
|       4 |  1000000 |            2500 |    70 | mutex  | fine    |          0.040975 |
|       4 |  1000000 |            2500 |    70 | rwlock | coarse  |          0.050299 |
|       4 |  1000000 |            2500 |    70 | rwlock | fine    |          0.050215 |
|       4 |  1000000 |            5000 |    30 | mutex  | coarse  |          0.044187 |
|       4 |  1000000 |            5000 |    30 | mutex  | fine    |          0.044813 |
|       4 |  1000000 |            5000 |    30 | rwlock | coarse  |          0.056207 |
|       4 |  1000000 |            5000 |    30 | rwlock | fine    |          0.052945 |
|       4 |  1000000 |            5000 |    50 | mutex  | coarse  |          0.044190 |
|       4 |  1000000 |            5000 |    50 | mutex  | fine    |          0.043465 |
|       4 |  1000000 |            5000 |    50 | rwlock | coarse  |          0.053086 |
|       4 |  1000000 |            5000 |    50 | rwlock | fine    |          0.054341 |
|       4 |  1000000 |            5000 |    70 | mutex  | coarse  |          0.045077 |
|       4 |  1000000 |            5000 |    70 | mutex  | fine    |          0.043174 |
|       4 |  1000000 |            5000 |    70 | rwlock | coarse  |          0.053502 |
|       4 |  1000000 |            5000 |    70 | rwlock | fine    |          0.052671 |
|       4 |  1000000 |           10000 |    30 | mutex  | coarse  |          0.048433 |
|       4 |  1000000 |           10000 |    30 | mutex  | fine    |          0.046167 |
|       4 |  1000000 |           10000 |    30 | rwlock | coarse  |          0.057433 |
|       4 |  1000000 |           10000 |    30 | rwlock | fine    |          0.057651 |
|       4 |  1000000 |           10000 |    50 | mutex  | coarse  |          0.048734 |
|       4 |  1000000 |           10000 |    50 | mutex  | fine    |          0.047253 |
|       4 |  1000000 |           10000 |    50 | rwlock | coarse  |          0.059738 |
|       4 |  1000000 |           10000 |    50 | rwlock | fine    |          0.058541 |
|       4 |  1000000 |           10000 |    70 | mutex  | coarse  |          0.049468 |
|       4 |  1000000 |           10000 |    70 | mutex  | fine    |          0.050745 |
|       4 |  1000000 |           10000 |    70 | rwlock | coarse  |          0.057980 |
